"Disease"	"Lipid"	"Lipid_pubchem_cid"	"Citations"	"p-value"	"FDR"
"Insulin Resistance"	"Palmitic acid"	985	"7752913, 8138059, 9392480, 9805648, 10446195, 10535396, 10542046, 10782750, 11350782, 11375340, 11574413, 11723064, 12079847, 12145222, 12200758, 12217898, 12376323, 12447984, 12456686, 12464581, 12562873, 12606504, 12700163, 12841357, 14517772, 14592453, 14605989, 14763919, 15105415, 15132977, 15193147, 15252018, 15256315, 15331547, 15337733, 15358228, 15466364, 15504966, 15632103, 15654918, 15723548, 15760270, 15866483, 15894466, 16007256, 16118251, 16118254, 16125533, 16128592, 16203862, 16284748, 16357064, 16487789, 16608885, 16697719, 16798732, 16814734, 16822230, 16849630, 16868746, 16868750, 16873692, 16895544, 17003244, 17013887, 17033839, 17050683, 17062841, 17093947, 17097017, 17132823, 17142140, 17149545, 17337731, 17341562, 17435330, 17440174, 17471172, 17478729, 17482433, 17519422, 17550999, 17556663, 17638705, 17639306, 17641276, 17650308, 17698034, 17713396, 17761767, 17784905, 17878672, 17906635, 17953367, 17982475, 18055661, 18060381, 18281277, 18301083, 18305020, 18336063, 18342627, 18375435, 18421279, 18450963, 18458147, 18535477, 18586909, 18633101, 18713822, 18773087, 18840759, 18922131, 18957619, 19008343, 19017764, 19029118, 19035854, 19047061, 19066313, 19066404, 19073766, 19073774, 19074137, 19111928, 19116375, 19214471, 19252892, 19277946, 19295913, 19305508, 19332540, 19336660, 19342603, 19364109, 19366863, 19366864, 19396840, 19462685, 19478146, 19494713, 19506932, 19519866, 19521344, 19556298, 19581421, 19633828, 19651810, 19651814, 19675137, 19675138, 19680547, 19706288, 19712485, 19721393, 19724017, 19726875, 19742171, 19767038, 19780047, 19808018, 19826769, 19833891, 19875619, 19877183, 19897010, 19934001, 19959757, 20005540, 20006364, 20022932, 20029372, 20030713, 20030821, 20032470, 20038265, 20044472, 20068130, 20068140, 20068143, 20087847, 20093624, 20094041, 20127308, 20138985, 20143175, 20150287, 20177806, 20185762, 20227862, 20228013, 20299470, 20299618, 20347174, 20352092, 20354158, 20361178, 20393162, 20395947, 20400899, 20417620, 20429048, 20434320, 20445742, 20455448, 20463885, 20482516, 20522594, 20522596, 20526369, 20561942, 20569275, 20573988, 20607591, 20619626, 20647313, 20685204, 20693347, 20719107, 20805226, 20813836, 20820848, 20834068, 20876726, 20876761, 20937139, 20956497, 20962926, 20963565, 20980473, 21035759, 21040800, 21054880, 21080305, 21084675, 21088116, 21094196, 21110076, 21134603, 21136123, 21183973, 21209881, 21236337, 21266330, 21270237, 21270259, 21270261, 21272187, 21282367, 21296137, 21304064, 21310601, 21323644, 21324916, 21325642, 21347624, 21355331, 21393865, 21397284, 21442160, 21447485, 21454530, 21478880, 21498783, 21505048, 21505982, 21506380, 21514935, 21570480, 21589859, 21624100, 21646388, 21664630, 21681225, 21695273, 21704120, 21738773, 21754921, 21774832, 21816784, 21843327, 21852085, 21853118, 21887335, 21921143, 21968131, 21980491, 22006247, 22014161, 22046423, 22065734, 22083962, 22087313, 22110480, 22140436, 22144985, 22147838, 22177958, 22191431, 22221106, 22235182, 22282245, 22314193, 22329651, 22355328, 22360800, 22363740, 22374970, 22383967, 22396206, 22398021, 22409911, 22445512, 22474039, 22492868, 22496600, 22577490, 22580159, 22586466, 22619360, 22624461, 22629445, 22662181, 22700321, 22728372, 22740317, 22742515, 22753171, 22761159, 22766331, 22780108, 22785470, 22791168, 22807032, 22809900, 22846606, 22854889, 22898769, 22899729, 22923652, 22932195, 22936810, 22948222, 22966071, 22971482, 23046868, 23238293, 23305008, 23460021, 23512965, 23639187, 23643711, 23820622, 23840461, 23927930, 24041487, 24043885, 24352501, 24442997, 24454989, 24456163, 24549372, 24651439, 24732014, 24752559, 24844433, 24846082, 24973767, 24985108, 25195818, 25436770, 25503900, 25527164, 25527748, 25529328, 25564660, 25601567, 25614714, 25618331, 25687616, 25700627, 25714483, 25747354, 25760026, 25784542, 25824459, 25839650, 25846498, 25891779, 25945408, 26002461, 26039731, 26055507, 26080825, 26188168, 26239742, 26261526, 26316333, 26324406, 26410780, 26436985, 26457550, 26475209, 26545114, 26748475, 26774040, 26833058, 26886198, 26899878, 26983645, 26985905, 27020550, 27033451, 27049873, 27082050, 27246737, 27250532, 27423393, 27455558, 27455563, 27639126, 27702549, 27714805, 27806377, 27928820, 27973621, 28008588, 28011403, 28070709, 28302626, 28304381, 28476704, 28656239, 28694473, 28811203, 28827061, 28842216, 28933767, 28971334, 29031387, 29038536, 29061371, 29070572, 29096724, 29101051, 29111387, 29277329, 29290500, 29311680, 29318158, 29414687, 29414781, 29526536, 29546476, 29607540, 29667734, 29721071, 29753610, 29794037, 29864922, 29870678, 29923306, 29937376, 30031229, 30111834, 30207798, 30208301, 30213948, 30287053, 30358799, 30361530, 30362509, 30362548, 30400151, 30431065, 30572687, 30615382, 30717198, 30776912, 30778898, 30799086, 30809553, 31059046, 31103825, 31121128, 31137828, 31155812, 31223033, 31274075, 31327095, 31524229, 31675670, 31719515, 31771123, 31828133, 31850803"	0	0
"Obesity"	"Palmitic acid"	985	"1356939, 1864970, 1985095, 2111005, 2552844, 3450549, 3548419, 3741393, 6368714, 6654321, 6829796, 6868654, 7046477, 7063515, 7173702, 8024729, 8243440, 8279528, 9032096, 9174487, 9177227, 9392480, 9415822, 9482914, 9541124, 10542046, 10778879, 10956252, 11052958, 11334421, 11350782, 11375340, 11832351, 11876260, 12067860, 12105277, 12150711, 12490664, 12562873, 12626325, 12671047, 12782234, 12807871, 14168048, 14231277, 14270405, 14277707, 14625204, 14669254, 14669255, 15132977, 15138278, 15256315, 15337733, 15356065, 15448158, 15520860, 15592487, 15615844, 15760270, 15772429, 15793250, 15894466, 16118254, 16123319, 16223979, 16246967, 16442843, 16815692, 16890963, 16899801, 17023526, 17033839, 17044925, 17050683, 17062897, 17131144, 17142140, 17161228, 17164440, 17207282, 17264178, 17287467, 17311893, 17355638, 17416903, 17478729, 17482433, 17519284, 17519422, 17556534, 17556663, 17623815, 17638705, 17641276, 17698034, 17717282, 17728375, 17906635, 18055661, 18079266, 18175746, 18242210, 18271691, 18305020, 18323514, 18335062, 18336063, 18342627, 18349111, 18356826, 18421279, 18450963, 18458147, 18477808, 18504445, 18559658, 18633101, 18641278, 18718999, 18931681, 18948971, 19008343, 19024856, 19029118, 19066313, 19116375, 19136649, 19136651, 19141681, 19192424, 19252892, 19252981, 19324004, 19336660, 19342603, 19366864, 19369694, 19396427, 19401423, 19519866, 19521344, 19521513, 19581415, 19608209, 19644453, 19651810, 19652946, 19687618, 19712485, 19806198, 19808018, 19906680, 20028938, 20029372, 20030821, 20035285, 20068130, 20068140, 20094820, 20107043, 20110567, 20150287, 20228013, 20299470, 20347174, 20354158, 20361178, 20393162, 20395947, 20447400, 20463885, 20490453, 20515643, 20522594, 20522596, 20534152, 20541362, 20547980, 20549539, 20565855, 20619626, 20625397, 20628024, 20646597, 20647313, 20653972, 20685204, 20706589, 20834068, 20876726, 21041527, 21060836, 21088116, 21107520, 21123462, 21145948, 21170321, 21172433, 21266330, 21270237, 21270259, 21282367, 21282371, 21304064, 21318295, 21411512, 21442160, 21454530, 21471274, 21501347, 21514935, 21544083, 21569358, 21573029, 21586170, 21593104, 21617185, 21653893, 21664630, 21666801, 21676245, 21679418, 21695273, 21754921, 21810594, 21915269, 21915347, 21921143, 21952248, 21957486, 21980491, 22016761, 22059644, 22071709, 22083962, 22101973, 22144985, 22147838, 22170727, 22235182, 22267462, 22300160, 22383967, 22389459, 22396206, 22442717, 22445512, 22474039, 22479536, 22492868, 22508714, 22586466, 22629144, 22629445, 22701636, 22701716, 22701720, 22750100, 22770993, 22798065, 22809900, 22854889, 22902781, 22923652, 22948222, 23069627, 23274886, 23418014, 23585895, 23680379, 23785121, 23884778, 23904453, 23927930, 24286356, 24456163, 24549372, 24651439, 24740421, 24789918, 24986865, 25223801, 25311062, 25329748, 25436770, 25503900, 25592967, 25598079, 25614714, 25700627, 25733475, 25945408, 25986658, 26073655, 26113297, 26123446, 26161534, 26167075, 26192035, 26253611, 26261526, 26314570, 26316333, 26354992, 26393565, 26450512, 26655953, 26758875, 27019072, 27052498, 27130822, 27300134, 27344992, 27346292, 27651333, 27689828, 27732859, 28007782, 28045026, 28145413, 28258602, 28276438, 28302626, 28420500, 28452587, 28542876, 28625483, 28726347, 28753653, 28971573, 29070572, 29130652, 29572383, 29635803, 29721071, 29798686, 29937376, 29996135, 30031229, 30063946, 30183308, 30230367, 30324697, 30340828, 30623851, 30816669, 30909920, 31013145, 31121128, 31274075, 31363792, 31613643, 31614951, 31828133"	3.27325030329829e-150	1.16794073104028e-149
"Fatty Liver"	"Palmitic acid"	985	"1640634, 7128823, 9441722, 9799807, 10068949, 10659963, 12170027, 12562873, 13948457, 14078608, 14085804, 14120441, 14151129, 14167668, 14168175, 14173329, 14190359, 14192514, 14280474, 14300117, 14301352, 14302120, 14327266, 14481774, 14631324, 15345470, 15719408, 15760270, 16697719, 17188672, 17277197, 17496329, 17626006, 17680645, 17951222, 17986647, 18174272, 18242210, 18812595, 18948971, 19029118, 19207680, 19237421, 19246643, 19285015, 19366863, 19502591, 19638343, 19646010, 19651814, 19877183, 19906111, 19913842, 19934001, 19937697, 20006364, 20014489, 20110567, 20159858, 20195647, 20206402, 20347174, 20426802, 20430872, 20509914, 20569275, 20628024, 20633299, 20654606, 20706589, 20830238, 20840863, 20872794, 20971848, 20979658, 21042596, 21119028, 21147505, 21206006, 21261970, 21330637, 21373642, 21464441, 21465509, 21488066, 21616061, 21620948, 21633093, 21633637, 21704120, 21774832, 21787405, 21816784, 21853118, 21856859, 21878620, 21940336, 21941003, 21957160, 21957486, 21985374, 22003123, 22076166, 22093454, 22110476, 22165986, 22209679, 22221411, 22221448, 22231784, 22238690, 22246806, 22343340, 22355328, 22363635, 22363740, 22380754, 22383967, 22396206, 22464705, 22474039, 22619360, 22641094, 22683933, 22685607, 22753171, 22831974, 22857151, 22987396, 23010494, 23110104, 23151243, 23305008, 23512965, 23771793, 23904453, 24041487, 24121055, 24132507, 24351808, 24525903, 24549372, 24735863, 24854865, 24881592, 25048947, 25080922, 25588104, 25686501, 25744134, 25908621, 25917316, 25938832, 26167075, 26304124, 26316333, 26739470, 26784190, 26854922, 26860972, 27133527, 27178543, 27246737, 27317662, 27760195, 28119353, 28499273, 28739531, 28752712, 28763157, 28790196, 29169220, 29474539, 29597210, 29607540, 30208301, 30324697, 30738135, 31121128, 31703459, 31839747"	1.80314714948217e-145	6.36813805718781e-145
"Non-alcoholic Fatty Liver Disease"	"Palmitic acid"	985	"20014489, 21042596, 21147505, 21206006, 21488066, 21616061, 21633093, 21704120, 21787405, 21816784, 21878620, 21957160, 21985374, 22076166, 22093454, 22110476, 22165986, 22209679, 22221411, 22221448, 22238690, 22246806, 22380754, 22464705, 22474039, 22619360, 22641094, 22683933, 22753171, 22857151, 22987396, 23305008, 23512965, 24132507, 24351808, 24608675, 24670599, 24743734, 24854865, 25003952, 25080922, 25187371, 25314137, 25389366, 25512910, 25527748, 25540128, 25603556, 25666017, 25747354, 25766252, 25841776, 25886887, 25943029, 25957914, 26024755, 26039731, 26113297, 26133299, 26187275, 26201023, 26203862, 26240153, 26316333, 26419929, 26431876, 26472223, 26525891, 26539645, 26655953, 26668503, 26674288, 26764184, 26869449, 26924096, 26937141, 27090939, 27651333, 27756518, 27832630, 28044208, 28092906, 28216552, 28262979, 28278289, 28322865, 28347804, 28351695, 28495427, 28499273, 28628909, 28694658, 28730512, 28759727, 28831172, 28931802, 28951211, 29046367, 29077272, 29269727, 29290651, 29323715, 29336468, 29414781, 29531463, 29569260, 29631603, 29864471, 29989851, 30016988, 30036865, 30102772, 30380656, 30400243, 30458883, 30547786, 30558790, 30619336, 30625377, 31083413, 31421115, 31519174, 31558861, 31639005, 31834842, 31839747"	6.13527757302318e-124	2.07028287698236e-123
"Diabetes Mellitus, Type 2"	"Palmitic acid"	985	"1634190, 1666753, 2035624, 8024729, 8257420, 8288053, 9032096, 9405898, 9482914, 9541124, 10542046, 10868944, 11350782, 11833043, 11872680, 11978640, 12397026, 12401712, 12444908, 12540618, 12606508, 12626325, 12700163, 12754126, 14600074, 14763919, 14988236, 15132977, 15256315, 15337174, 15383370, 15592487, 15615844, 15655711, 15727952, 15734839, 15793250, 15830181, 15894466, 15972273, 16061022, 16179281, 16284748, 16327015, 16442843, 16595504, 16713435, 16814734, 16815692, 16842482, 16859646, 16868746, 16897074, 16914602, 17023526, 17023529, 17131144, 17213470, 17261080, 17268797, 17482433, 17556534, 17641276, 17717282, 17804680, 17878672, 18056794, 18205625, 18330713, 18375435, 18586909, 18587560, 18633101, 18663317, 18713822, 18957123, 18957534, 19008343, 19028723, 19035854, 19066312, 19073772, 19106615, 19111928, 19141690, 19252892, 19305497, 19324004, 19364331, 19401423, 19407076, 19536518, 19615969, 19633828, 19651810, 19652946, 19720788, 19742300, 19758361, 19818774, 19844574, 19875548, 19875619, 19889804, 19897010, 19906680, 19910451, 20028938, 20029372, 20030821, 20087847, 20093159, 20117255, 20127308, 20150285, 20182627, 20191079, 20200316, 20228013, 20361178, 20369226, 20455448, 20526368, 20532041, 20549539, 20561942, 20589757, 20646597, 20693577, 20719107, 20729402, 20820848, 20840078, 20846914, 20861175, 20876726, 20883086, 20943749, 20959532, 20980473, 21029303, 21035442, 21035759, 21044045, 21170321, 21172433, 21181396, 21205124, 21206006, 21228312, 21266672, 21270261, 21310601, 21411512, 21447485, 21505048, 21512771, 21617185, 21716694, 21738773, 21816445, 21841783, 21915177, 21945815, 21977023, 22064706, 22110476, 22113197, 22177710, 22194967, 22203421, 22209679, 22252473, 22293752, 22304835, 22315313, 22479612, 22490613, 22526606, 22561689, 22586466, 22629144, 22783575, 22810813, 22898769, 23137174, 23223023, 23349838, 23362303, 23600826, 23897822, 24384240, 24475223, 24521082, 24752559, 24986865, 25311062, 25383781, 25527759, 25564660, 25595459, 25598079, 25921577, 26137583, 26147439, 26167075, 26171795, 26239742, 26254104, 26261526, 26393565, 26431876, 26633920, 26833058, 26941017, 27061233, 27344992, 27601447, 27702549, 27806377, 28008587, 28027979, 28265821, 28547133, 29290500, 29311680, 29373526, 29507232, 29720871, 29772372, 30132841, 30183308, 30207798, 30254013, 30275386, 30362548, 30384366, 30555566, 30573363, 30816669, 31052447, 31412623, 31618077, 31828133"	1.71528329284069e-96	5.38352378001967e-96
"Diabetes Mellitus, Experimental"	"Palmitic acid"	985	"1476176, 1506379, 1666751, 1910160, 2009347, 2141842, 2244747, 2620485, 2713383, 2776432, 3314925, 3315291, 3493962, 4047532, 6409696, 6666615, 6704434, 6704435, 6809734, 6809735, 6869521, 7037491, 7696293, 8070612, 8484960, 9075804, 9370110, 10391132, 10698964, 10749714, 11179061, 11551857, 12186742, 12210759, 12397026, 12533957, 13331942, 13618010, 14192618, 14198523, 14213339, 14253468, 14297273, 14600074, 14907635, 15298769, 15474882, 16061022, 16095929, 16099631, 16234271, 16369227, 16461555, 16522700, 16542058, 16855217, 16890542, 17318782, 17393654, 17438340, 17623817, 17632588, 18203848, 18205625, 18298127, 18420491, 18455422, 18477808, 18583709, 18682384, 19065603, 19142226, 19401434, 19410628, 19534705, 19557129, 19624828, 19625611, 19696184, 19742300, 19826769, 19875622, 20096551, 20227862, 20627937, 20660016, 21161999, 21266672, 21754921, 21774832, 21839170, 21873433, 22068616, 22087215, 22226877, 22347376, 22456698, 22526606, 22561689, 23050040, 23423573, 23904453, 23986204, 24357059, 24454989, 24824999, 26161534, 27061233, 27591086, 27789474, 27871808, 28904018, 28928089, 29061371, 29096724, 29720871, 29752433, 29864922, 29923306, 29960115, 30098330, 30121645, 31618077, 31844893"	2.14497712253975e-46	5.45745616146002e-46
"Inflammation"	"Palmitic acid"	985	"2510521, 11379986, 15010132, 15652647, 16123319, 17003244, 17240190, 17355638, 17556663, 18021406, 18281277, 18323514, 18336063, 18773087, 18852009, 19029118, 19215923, 19305508, 19396840, 19478146, 19506932, 19521344, 19521513, 19651810, 19660150, 19665786, 19707265, 19742300, 19917107, 19926177, 19934003, 20013165, 20022932, 20041255, 20086228, 20093624, 20178457, 20182627, 20200316, 20354158, 20370733, 20417620, 20434320, 20518853, 20541543, 20871834, 20937260, 20956497, 20958969, 20963565, 20980218, 21042596, 21046125, 21070867, 21081149, 21088116, 21110076, 21112343, 21266330, 21282371, 21296137, 21323644, 21414768, 21422740, 21431325, 21506380, 21573029, 21646388, 21664458, 21664630, 21771651, 21829457, 21930301, 21957160, 21998738, 22046423, 22059644, 22094332, 22110476, 22118513, 22144985, 22188761, 22206437, 22209225, 22235182, 22252473, 22272335, 22314193, 22347430, 22360800, 22383967, 22396206, 22411934, 22465073, 22544924, 22545589, 22616837, 22701636, 22701716, 22713545, 22736938, 22766885, 22791168, 22842335, 22902781, 23170972, 23433401, 23460021, 23531513, 23547761, 23555753, 23785121, 23840461, 23850687, 23921144, 24043885, 24078775, 24121055, 24378274, 24456163, 25223801, 25280420, 25373903, 25383781, 25446924, 25503900, 25614714, 25652309, 25687616, 25724108, 25795558, 25944880, 26055507, 26073655, 26123446, 26133299, 26188168, 26201685, 26239742, 26245186, 26324406, 26354992, 26355761, 26436985, 26545114, 26748475, 26873426, 27019072, 27049873, 27297630, 27300134, 27450429, 27592456, 27639126, 27643515, 27651333, 27732859, 27806377, 28059488, 28302626, 28526351, 28554965, 28694658, 28730512, 28752712, 28790196, 28948468, 29077272, 29096724, 29111387, 29139169, 29193074, 29269727, 29317502, 29414687, 29463677, 29474492, 29526536, 29601102, 29626212, 29667734, 29713651, 29763372, 29772372, 29794037, 29989851, 29991726, 30016150, 30063946, 30213948, 30257381, 30340828, 30352432, 30458883, 30615382, 30802511, 30820195, 30822454, 30957183, 30968170, 31083413, 31121128, 31179489, 31266188, 31558861, 31607744, 31614951"	1.81262490174657e-43	4.52595045692446e-43
"Insulinoma"	"Palmitic acid"	985	"3037306, 11891015, 12032169, 12108788, 12656670, 12663471, 15297438, 15314288, 15677504, 15781268, 16094531, 16448528, 16644178, 17395747, 17991720, 18061583, 18174526, 18358090, 18395405, 18455496, 18772242, 19463182, 19727664, 20488947, 20589757, 21158056, 22347430, 22399686, 22563482, 22810813, 24099598, 24896641, 25350564, 26293158, 29960115"	1.29718475296558e-37	3.13191835167786e-37
"Hyperglycemia"	"Palmitic acid"	985	"1788471, 1977322, 7696293, 8279535, 9642153, 12746213, 14168048, 14737743, 15309295, 15352999, 15474882, 15572028, 15654918, 15848159, 16369227, 17111300, 18079266, 18559658, 18718999, 19074137, 19218500, 19364331, 19609006, 19664593, 19875548, 19910451, 20191079, 20227862, 20356977, 20561942, 20625397, 20667613, 20805277, 20959532, 21107520, 21108938, 21821004, 21921143, 21949000, 22075495, 22430143, 22616837, 23110104, 24734256, 26024084, 27455563, 27601447, 28027979, 28057756, 28904018, 29753610, 29937376, 30717198"	9.46098081920931e-22	1.99999654275635e-21
"Myocardial Ischemia"	"Palmitic acid"	985	"1433313, 1490250, 7611501, 7615556, 7841023, 8745225, 8888686, 8905640, 9144318, 9420699, 9725804, 9803403, 10498852, 11179061, 11406496, 11454576, 11470467, 11521131, 12540618, 12956404, 14525943, 15001444, 15023869, 15105170, 15284219, 15840766, 15850553, 16115587, 16155108, 16444597, 16509993, 16541128, 16741157, 16760902, 16877951, 17111038, 17213470, 17496214, 18266096, 18408129, 18420491, 18427280, 19024856, 19303418, 20008827, 20436215, 20518726, 20825633, 21288451, 22047107"	4.39874701793776e-20	9.11478094779458e-20
